BLEU,TER
0.8408964152537145,1.0
0.8408964152537145,1.0
1.0,0.0
0.7071067811865476,0.25
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,0.8333333333333334
0.8408964152537145,1.0
0.8408964152537145,0.25
0.8408964152537145,1.0
1.0,0.0
1.0,0.25
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
0.6389431042462724,0.125
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
0.8408964152537145,0.5
1.0,0.0
0.8408964152537145,1.0
0.5,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.7071067811865476,0.25
0.8408964152537145,1.0
0.7071067811865476,0.25
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
0.7071067811865476,0.25
0.8408964152537145,0.25
0.8408964152537145,1.0
0.8408964152537145,0.25
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,1.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
0.5,1.0
0.8408964152537145,0.25
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
0.2259005009024612,0.75
1.0,0.0
0.8408964152537145,0.5
0.8408964152537145,0.0
0.2259005009024612,1.0
0.7071067811865476,0.25
0.5,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
0.5,1.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
0.8408964152537145,0.75
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.7071067811865476,0.25
0.7071067811865476,0.25
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.5,1.0
0.7071067811865476,0.25
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
0.7071067811865476,0.25
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
0.8408964152537145,0.25
0.8408964152537145,0.25
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.5
1.0,0.0
1.0,0.0
0.5,0.25
0.8408964152537145,1.0
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
0.7071067811865476,0.25
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
0.8408964152537145,0.25
0.8408964152537145,0.25
1.0,0.0
0.8408964152537145,0.25
0.7071067811865476,0.25
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
0.5,1.0
1.0,0.0
0.8408964152537145,1.0
0.7071067811865476,0.25
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
0.5,1.0
0.7071067811865476,0.0
0.8408964152537145,0.25
0.8408964152537145,1.0
1.0,0.0
0.7071067811865476,0.25
1.0,0.0
0.7071067811865476,0.25
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
0.7071067811865476,0.25
0.5,1.0
0.8408964152537145,0.75
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,0.5
0.8408964152537145,0.25
1.0,0.0
0.2259005009024612,1.0
0.5,1.0
1.0,0.0
0.5,1.0
1.0,0.0
0.30934850332660563,1.0
1.0,0.0
0.8408964152537145,1.0
0.8408964152537145,0.25
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
0.7071067811865476,0.25
1.0,0.0
0.8408964152537145,1.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
0.5,1.0
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,0.5
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
0.8408964152537145,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,1.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
1.0,0.0
0.8408964152537145,1.0
0.8408964152537145,1.0
0.8408964152537145,1.0
1.0,0.0
0.8408964152537145,0.25
0.7071067811865476,0.25
0.8408964152537145,0.25
1.0,0.0
0.8408964152537145,0.5
1.0,0.0
0.8408964152537145,0.625
1.0,0.0
1.0,0.0
1.0,0.0
0.8408964152537145,0.25
